Gamma, Beta, Epsilon, Reached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 9, 353, 392, 374.3333333333333, 14.173527750312866, 36.580110892653465
0.5, 0.1, 0, 0, 5001, 5001, 5001.0, 0.0, -494.6505025997758
0.9, 0.1, 0, 9, 323, 368, 350.3333333333333, 19.601587237318874, 39.668350510299206
0.1, 0.5, 0, 9, 368, 437, 406.0, 26.65416373560507, 35.175032041966915
0.5, 0.5, 0, 9, 434, 522, 488.0, 38.60915262818736, 28.557932540774345
0.9, 0.5, 0, 9, 326, 382, 358.44444444444446, 23.35765927728162, 39.47801747918129
0.1, 0.9, 0, 9, 431, 464, 449.44444444444446, 13.115818364022303, 28.838113218545914
0.5, 0.9, 0, 9, 313, 355, 339.55555555555554, 19.061952279117637, 40.75034949928522
0.9, 0.9, 0, 9, 448, 531, 493.6666666666667, 34.393151773120316, 27.256763711571693
