Gamma, Beta, Epsilon, Reached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 9, 396, 460, 436.6666666666667, 27.584214487436267, 32.43070562183857
0.5, 0.1, 0, 9, 358, 432, 407.44444444444446, 28.794718308556792, 36.18510849773884
0.9, 0.1, 0, 9, 245, 264, 257.22222222222223, 8.21621402103829, 47.54146133363247
0.1, 0.5, 0, 9, 424, 467, 447.6666666666667, 17.82008853949821, 29.666475869715214
0.5, 0.5, 0, 9, 390, 453, 415.22222222222223, 23.236837506079663, 33.08370120078325
0.9, 0.5, 0, 3, 239, 5001, 3413.8888888888887, 2244.5141243309176, 48.02974792569876
0.1, 0.9, 0, 0, 5001, 5001, 5001.0, 0.0, -496.5847100391984
0.5, 0.9, 0, 9, 399, 492, 450.6666666666667, 38.663792996664064, 32.00286743789911
0.9, 0.9, 0, 9, 265, 316, 285.1111111111111, 22.24332331507065, 45.53928880393505
