Gamma, Beta, Epsilon, T, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 0.5, 0.0, 8.1, 804.2, 858.8, 832.2111111111111, 832.2111111111111, 41.3318844512105
0.5, 0.1, 0, 0.5, 0.0, 9.0, 343.0, 413.1, 381.97777777777776, 381.97777777777776, 40.88093564659357
0.9, 0.1, 0, 0.5, 0.0, 9.0, 325.6, 359.0, 341.2777777777777, 341.2777777777777, 43.38521005958319
0.1, 0.5, 0, 0.5, 0.0, 9.0, 342.7, 416.3, 377.9222222222222, 377.9222222222222, 41.65159270167351
0.5, 0.5, 0, 0.5, 0.0, 8.7, 348.2, 859.5, 536.1, 536.1, 41.040394991636276
0.9, 0.5, 0, 0.5, 0.0, 8.4, 352.3, 1345.3, 692.088888888889, 692.088888888889, 43.48669971525669
0.1, 0.9, 0, 0.5, 0.0, 6.6, 843.8, 2301.7, 1645.7, 1645.7, 38.176126793026924
0.5, 0.9, 0, 0.5, 0.0, 6.6, 400.8, 3198.9, 1648.4333333333332, 1648.4333333333332, 42.06872872263193
0.9, 0.9, 0, 0.5, 0.0, 6.9, 382.2, 3181.3, 1481.9, 1481.9, 40.24203335493803
