Gamma, Beta, Epsilon, T, Reached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 0.5, 9, 331, 385, 368.6666666666667, 14.094916341243984, 38.88960986584425
0.5, 0.1, 0, 0.5, 9, 303, 358, 333.77777777777777, 16.01234091969051, 41.77515836060047
0.9, 0.1, 0, 0.5, 9, 336, 373, 350.6666666666667, 11.897712198383164, 38.428147777915
0.1, 0.5, 0, 0.5, 9, 365, 472, 437.3333333333333, 30.00370347510824, 35.56642260402441
0.5, 0.5, 0, 0.5, 9, 359, 378, 368.8888888888889, 5.933791076808307, 36.14918773621321
0.9, 0.5, 0, 0.5, 9, 302, 361, 335.8888888888889, 22.506514831855757, 41.778751373291016
0.1, 0.9, 0, 0.5, 9, 338, 368, 351.6666666666667, 8.602325267042627, 38.085579231381416
0.5, 0.9, 0, 0.5, 9, 327, 456, 375.22222222222223, 52.96073551389595, 39.38520422577858
0.9, 0.9, 0, 0.5, 9, 365, 482, 447.77777777777777, 39.21954665095165, 35.46914968639612
