Gamma, Beta, Epsilon, T, LearningReached, TestingReached, Best, Worst, Average, Std, BestReward
0.1, 0.1, 0, 0.25, 0.0, 7.8, 804.4, 1313.6, 983.4555555555555, 983.4555555555555, 41.01275183260441
0.5, 0.1, 0, 0.25, 0.0, 9.0, 330.5, 387.0, 357.8444444444445, 357.8444444444445, 42.97737281024456
0.9, 0.1, 0, 0.25, 0.0, 9.0, 282.8, 313.2, 298.9555555555556, 298.9555555555556, 45.45556005090475
0.1, 0.5, 0, 0.25, 0.0, 9.0, 356.9, 421.8, 393.8666666666666, 393.8666666666666, 45.18261431157589
0.5, 0.5, 0, 0.25, 0.0, 8.7, 327.5, 851.0, 518.0333333333333, 518.0333333333333, 45.289251796901226
0.9, 0.5, 0, 0.25, 0.0, 7.5, 302.0, 2679.4, 1108.2555555555555, 1108.2555555555555, 44.23735851049423
0.1, 0.9, 0, 0.25, 0.0, 7.2, 843.6, 2250.8, 1323.2777777777778, 1323.2777777777778, 39.774013832211494
0.5, 0.9, 0, 0.25, 0.0, 8.7, 349.3, 882.0, 537.9111111111112, 537.9111111111112, 41.0583733394742
0.9, 0.9, 0, 0.25, 0.0, 6.3, 344.3, 3633.3, 1763.3666666666668, 1763.3666666666668, 43.461127519607544
