Number of tracks, LearningReached, TestingReached, Best, Worst, Average, Std, AverageReward
1, 0.0, 6.6, 1538.3333333333333, 1936.111111111111, 1804.2888888888888, 2058.4196810198537, -126.77914120674961
2, 0.0, 5.6, 1577.2222222222222, 2988.4444444444443, 2228.6111111111113, 2189.25441237394, -179.97975566532048
3, 0.0, 9.0, 345.8888888888889, 409.55555555555554, 395.23333333333335, 63.02786861557531, 32.4871492807236
4, 0.0, 9.0, 337.22222222222223, 412.77777777777777, 373.44444444444446, 57.19889492155345, 34.67256659153435
5, 0.0, 9.0, 319.3333333333333, 345.22222222222223, 343.68888888888887, 49.31545722172364, 37.63373334830006
